adr_term,adr_synonyms,meddra_code,adr_term_lower
Limb reduction defect,"Absence of limbs | Absent limb | Absent limbs | Amelia | Congenital hand agenesis | Ectromelia | Ectromelia four limbs | Ectromelia one limb | Ectromelia three limbs | Ectromelia two limbs | Hemimelia | Limb reduction defect | Limb reduction deformity | Longitudinal def, tarsals or metatarsals, complete or partial (with or w/o incomp phalangeal def) | Longitudinal deficiency of lower limb, not elsewhere classified | Longitudinal deficiency of upper limb, not elsewhere classified | Longitudinal deficiency, carp or metacarp, complete or partial (with or w/o incomp phalangeal def) | Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete) | Longitudinal deficiency, combined, involving humerus, radius, and ulna (complete or incomplete) | Longitudinal deficiency, femoral, complete or partial (with or w/o distal deficiencies, incomplete) | Longitudinal deficiency, fibular, complete or partial (with or w/o distal deficiencies, incomplete) | Longitudinal deficiency, humeral, complete or partial (with or w/o distal deficiencies, incomplete) | Longitudinal deficiency, phalanges of foot, complete or partial (with or w/o distal def, incomplete) | Longitudinal deficiency, phalanges of hand, complete or partial (with or w/o distal def, incomplete) | Longitudinal deficiency, radial, complete or partial (with or w/o distal deficiencies, incomplete) | Longitudinal deficiency, radioulnar, complete or partial (with or w/o distal deficiencies, incomp) | Longitudinal deficiency, tibia, complete or partial (with or w/o distal deficiencies, incomplete) | Longitudinal deficiency, tibiofibular, complete or partial (with or w/o distal deficiencies, incomp) | Longitudinal deficiency, ulnar, complete or partial (with or w/o distal deficiencies, incomplete) | Mesomelia | Micromelia | Phocomelia | Reduction deformities of lower limb, congenital | Reduction deformities of upper limb, congenital | Reduction deformities, unspecified limb, congenital | Transverse deficiency of lower limb | Transverse deficiency of upper limb | Unspecified reduction deformity of lower limb, congenital | Unspecified reduction deformity of upper limb, congenital | Foot agenesis | Brachymelia | Acheiropody | Acheiria | Meromelia | Sirenomelia | Mermaid Malformation | Malformation, Mermaid | Sirenomelus | Sirenomelia Sequence | Sequence, Sirenomelia | Sirenomelia Sequences | Fused Legs and Feet | Mermaid Syndrome | Syndrome, Mermaid",10024503,limb reduction defect
Congenital hand malformation,Congenital hand malformation NOS | Malformation hand | Malformation hand NOS | Malformation of hand | Congenital hand malformation | Congenital finger deformity | Trident hand,10062335,congenital hand malformation
Talipes,"Club foot congenital | Clubfoot | Clubfoot (congenital) | Congenital clubfoot | Congenital metatarsus varus | Congenital pes cavus | Congenital valgus deformity of foot NOS | Congenital varus deformity of foot NOS | Fetal talipes | Foetal talipes | Metatarsus varus, congenital | Other congenital valgus deformities of feet | Other congenital varus deformities of feet | Talipes | Talipes calcaneovalgus | Talipes cavus | Talipes equines | Talipes equinovarus | Talipes equinovarus, congenital | Talipes equinus | Talipes valgus, congenital | Talipes varus, congenital | Talipes, unspecified | Valgus deformities of feet, congenital | Varus deformities of feet, congenital | Talipes congenital | Congenital valgus foot deformity | Pes supinatus | Metatarsus adductus | Talipes calcaneus | Talipedes | Talipes Calcaneus | Calcaneus, Talipes | Talipes Calcaneovarus | Calcaneovarus, Talipes | Talipes Varus | Varus, Talipes",10043101,talipes
Tibial torsion,Tibial torsion | Internal tibial torsion | External tibial torsion,10064515,tibial torsion
Polydactyly,"Multiple digits | Polydactyly | Polydactyly of fingers | Polydactyly of toes | Polydactyly, unspecified digits | Hexadactyly | Postaxial polydactyly | Preaxial polydactyly | Central polydactyly | Tibial polydactyly | Fibular polydactyly | Radial polydactyly | Ulnar polydactyly | Polydactylies | Polydactylia | Polydactylias | Polydactylism | Polydactylisms | Hyperdactyly | Hyperdactylies",10036063,polydactyly
Metatarsus primus varus,"Metatarsus primus varus | Metatarsus primus varus, congenital | Hallux Varus | Metatarsus Primus Varus",10027489,metatarsus primus varus
Congenital limb hyperextension,Extension of upper extremities | Congenital limb hyperextension,10049011,congenital limb hyperextension
Developmental hip dysplasia,"Acetabular dysplasia | Clicking hip (suspected cong. disloc. of hip) | Congenital dislocation of hip | Congenital dislocation of hip, bilateral | Congenital dislocation of hip, unilateral | Congenital dislocation of one hip with subluxation of other hip | Congenital hip deformity NOS | Congenital hip dislocation | Congenital subluxation of hip, bilateral | Congenital subluxation of hip, unilateral | Coxa valga, congenital | Coxa vara, congenital | Dislocation of hip congenital | Other congenital deformity of hip (joint) | Congenital hip deformity | Hip dysplasia | Developmental hip dysplasia | Hip Dislocation, Congenital | Congenital Hip Dislocations | Dislocations, Congenital Hip | Hip Dislocations, Congenital | Congenital Hip Dislocation | Congenital Hip Displacement | Congenital Hip Dysplasia | Congenital Hip Dysplasias | Dysplasias, Congenital Hip | Hip Dysplasias, Congenital | Hip, Dislocation Of, Congenital | Dislocation, Congenital Hip | Displacement, Congenital Hip | Dysplasia, Congenital Hip | Hip Displacement, Congenital | Congenital Hip Displacements | Displacements, Congenital Hip | Hip Displacements, Congenital | Hip Dysplasia, Congenital | Congenital Dysplasia Of The Hip | Dislocation Of Hip, Congenital | Hip Dysplasia, Congenital, Nonsyndromic",10073767,developmental hip dysplasia
Syndactyly,Fingers webbed | Fusion of 2nd & 3rd toes both sides | Syndactyly | Syndactyly of fingers with fusion of bone | Syndactyly of fingers without fusion of bone | Syndactyly of multiple and unspecified sites | Syndactyly of toes with fusion of bone | Syndactyly of toes without fusion of bone | Toes webbed | Web bad fingers | Webbed fingers | Webbing & fusion 2-4th fingers L hand | Polysyndactyly | Symbrachydactyly | Zygodactyly | Syndactylies | Syndactylia | Syndactylias,10042778,syndactyly
Congenital musculoskeletal disorder of limbs,"Congenital limb anomaly NOS | Congenital limb malformation NOS | Limb defects | Limb malformation | Limb malformation NOS | Other congenital anomalies of limbs | Other congenital anomalies of lower limb, including pelvic girdle | Other congenital anomalies of upper limb, including shoulder girdle | Other congenital anomaly of lower limb, including pelvic girdle | Other congenital anomaly of upper limb, including shoulder girdle | Other specified congenital anomalies of unspecified limb | Unspecified anomaly of upper limb, congenital | Unspecified congenital anomaly of lower limb | Unspecified congenital anomaly of unspecified limb | Congenital musculoskeletal disorder of limbs",10086689,congenital musculoskeletal disorder of limbs
Ectrodactyly,"Cleft hand, congenital | Congenital cleft hand | Cleft foot | Ectrodactyly | Split hand | Lobster claw hand | Cleft hand",10079827,ectrodactyly
Non-site specific muscle disorders congenital,Not Available,10029512,non-site specific muscle disorders congenital
Familial tremor,"Essential tremor (hereditary) | Familial tremor | Tremor familial | Essential Tremor | Essential Tremors | Tremor, Essential | Tremors, Essential | Benign Essential Tremor | Benign Essential Tremors | Essential Tremor, Benign | Essential Tremors, Benign | Tremor, Benign Essential | Tremors, Benign Essential | Familial Tremor | Familial Tremors | Tremor, Familial | Tremors, Familial | Hereditary Essential Tremor",10016212,familial tremor
Musculoskeletal and connective tissue disorders of trunk congenital (excl spine),Not Available,10028384,musculoskeletal and connective tissue disorders of trunk congenital (excl spine)
Pectus excavatum,"Cobbler's chest | Funnel breast | Funnel chest | Hollowed breast | Pectus excavatum | Sternal depression | Funnel Chest | Chest, Funnel | Chests, Funnel | Funnel Chests | Pectus Excavatum | Excavatum, Pectus",10034204,pectus excavatum
Ear and labyrinthine disorders congenital,Not Available,10013995,ear and labyrinthine disorders congenital
External ear disorders congenital,Not Available,10015733,external ear disorders congenital
Anomaly of external ear congenital,Anomaly of external ear congenital NOS | Congenital external ear malformations | Asymmetric ears | Anomaly of external ear congenital,10062339,anomaly of external ear congenital
Low set ears,Low set ears,10024929,low set ears
Ear disorders congenital NEC,Not Available,10027668,ear disorders congenital nec
Ear malformation,Congenital ear malformation NOS | Ear malformation | Ear malformation NOS | Hereditary ear malformation NOS | Malformed ear | Other congenital anomalies of ear | Other specified congenital anomalies of ear | Unspecified congenital anomaly of ear,10014016,ear malformation
Infections and infestations congenital,Not Available,10021882,infections and infestations congenital
Viral infections congenital,Not Available,10047464,viral infections congenital
Congenital herpes simplex infection,Congenital herpes simplex infection | Perinatal herpes simplex infection,10019949,congenital herpes simplex infection
Blood and lymphatic system disorders congenital,Not Available,10005330,blood and lymphatic system disorders congenital
Coagulation disorders congenital,Not Available,10009735,coagulation disorders congenital
Factor I deficiency,"Afibrinogenemia | Deficiency factor I | Factor I deficiency | Afibrinogenaemia | Congenital hypofibrinogenaemia | Congenital hypofibrinogenemia | Afibrinogenemias | Congenital Afibrinogenemia | Afibrinogenemia, Congenital | Afibrinogenemias, Congenital | Congenital Afibrinogenemias | Familial Afibrinogenemia | Afibrinogenemia, Familial | Afibrinogenemias, Familial | Familial Afibrinogenemias | Congenital Afibrinogenaemia | Afibrinogenaemia, Congenital | Afibrinogenaemias, Congenital | Congenital Afibrinogenaemias | Hypofibrinogenemia, Congenital | Congenital Hypofibrinogenemia | Congenital Hypofibrinogenemias | Hypofibrinogenemias, Congenital | Deficiency, Fibrinogen | Fibrinogen Deficiencies | Fibrinogen Deficiency",10016075,factor i deficiency
Factor VIII deficiency,"Congenital factor VIII disorder | Factor VIII deficiency | Haemophilia A | Haemophilia A (Factor VIII) | Hemophilia A | Hemophilia A (Factor VIII) | Hemophilia As | Hemophilia, Classic | Hemophilia | Hemophilia A, Congenital | Congenital Hemophilia A | Congenital Hemophilia As | Hemophilia As, Congenital | Classic Hemophilia | Classic Hemophilias | Hemophilias, Classic | Haemophilia | Autosomal Hemophilia A | As, Autosomal Hemophilia | Autosomal Hemophilia As | Hemophilia A, Autosomal | Hemophilia As, Autosomal | Factor VIII Deficiency | Factor 8 Deficiency, Congenital | Factor VIII Deficiency, Congenital | Deficiency, Factor VIII",10016080,factor viii deficiency
Protein C deficiency,"Protein C deficiency | Protein C Deficiency | Hereditary Thrombophilia Due To Protein C Deficiency | Deficiency, Protein C | Deficiencies, Protein C | Protein C Deficiencies",10051298,protein c deficiency
Factor II deficiency,"Factor II deficiency | Prothrombin deficiency | Hypoprothrombinemias | Prothrombin Deficiency | Deficiencies, Prothrombin | Deficiency, Prothrombin | Prothrombin Deficiencies | Hypoprothrombinemia | Deficiency, Factor II | Deficiencies, Factor II | Factor II Deficiencies | Factor II Deficiency",10016076,factor ii deficiency
Factor XI deficiency,"Congenital factor XI deficiency | Factor XI deficiency | Haemophilia C (Factor XI) | Hemophilia C (Factor XI) | Factor XI Deficiency | Deficiency, Factor Eleven | Deficiencies, Factor Eleven | Factor Eleven Deficiencies | Factor 11 Deficiency | Factor Eleven Deficiency | Plasma Thromboplastin Antecedent Deficiency | Hemophilia C | Rosenthal's Syndrome | Rosenthal's Syndromes | Rosenthals Syndrome | Syndrome, Rosenthal's | Rosenthal Syndrome | Rosenthal Syndromes | Syndrome, Rosenthal | Deficiency, Factor 11 | Deficiencies, Factor 11 | Factor 11 Deficiencies | Deficiency, Factor XI | Deficiencies, Factor XI | Factor XI Deficiencies",10016082,factor xi deficiency
Haemophilia,"Congenital deficiency of other clotting factors | Haemophilia NOS | Haemophilia | Hemophilia | Hemophilia A | Hemophilia As | Hemophilia, Classic | Hemophilia A, Congenital | Congenital Hemophilia A | Congenital Hemophilia As | Hemophilia As, Congenital | Classic Hemophilia | Classic Hemophilias | Hemophilias, Classic | Autosomal Hemophilia A | As, Autosomal Hemophilia | Autosomal Hemophilia As | Hemophilia A, Autosomal | Hemophilia As, Autosomal | Factor VIII Deficiency | Factor 8 Deficiency, Congenital | Factor VIII Deficiency, Congenital | Deficiency, Factor VIII",10061992,haemophilia
Haematological disorders congenital NEC,Not Available,10018848,haematological disorders congenital nec
Infantile genetic agranulocytosis,Infantile genetic agranulocytosis | Kostmann's syndrome | Congenital neutropenia,10052210,infantile genetic agranulocytosis
Haemoglobinopathies congenital,Not Available,10018903,haemoglobinopathies congenital
Sickle cell anaemia,"Anaemia sickle cell | Other sickle-cell anemia | Sickle cell anaemia | Sickle-cell anaemia | Sickle-cell anemia | Sickle-cell anemia, unspecified | Sickle cell anemia | Anemia sickle cell | Sickle-cell anaemia, unspecified | Anemia, Sickle Cell | Anemias, Sickle Cell | Sickle Cell Anemias | Hemoglobin S Disease | Disease, Hemoglobin S | Hemoglobin S Diseases | Sickle Cell Anemia | Sickle Cell Disorders | Cell Disorder, Sickle | Cell Disorders, Sickle | Sickle Cell Disorder | Sickling Disorder Due to Hemoglobin S | HbS Disease | Sickle Cell Disease | Cell Disease, Sickle | Cell Diseases, Sickle | Sickle Cell Diseases",10040641,sickle cell anaemia
Anaemias congenital (excl haemoglobinopathies),Not Available,10002084,anaemias congenital (excl haemoglobinopathies)
Congenital aplastic anaemia,"Fanconi's anaemia | Congenital aplastic anaemia | Congenital aplastic anemia | Fanconi's anemia | Diamond-Blackfan anaemia | Diamond-Blackfan anemia | Inherited bone marrow failure syndrome | Fanconi Anemia | Anemias, Fanconi | Fanconi Anemias | Fanconi's Anemia | Anemia, Fanconi's | Fanconi Pancytopenia | Fanconi Panmyelopathy | Anemia, Fanconi | Fanconi Hypoplastic Anemia",10053138,congenital aplastic anaemia
Respiratory disorders congenital,Not Available,10038686,respiratory disorders congenital
Pulmonary and bronchial disorders congenital,Not Available,10025039,pulmonary and bronchial disorders congenital
Cystic fibrosis,"Cystic fibrosis | Cystic fibrosis NOS | Cystic fibrosis without mention of meconium ileus | Mucoviscidosis | Cystic Fibrosis | Fibrosis, Cystic | Pulmonary Cystic Fibrosis | Cystic Fibrosis, Pulmonary | Pancreatic Cystic Fibrosis | Cystic Fibrosis, Pancreatic | Fibrocystic Disease of Pancreas | Pancreas Fibrocystic Disease | Pancreas Fibrocystic Diseases | Cystic Fibrosis of Pancreas",10011762,cystic fibrosis
Pulmonary hypoplasia,"Agenesis, hypoplasia, and dysplasia of lung, congenital | Pulmonary hypoplasia",10037407,pulmonary hypoplasia
Laryngeal and tracheal disorders congenital,Not Available,10023821,laryngeal and tracheal disorders congenital
Congenital laryngeal stridor,Congenital laryngeal stridor | Congenital stridor,10010527,congenital laryngeal stridor
Tracheo-oesophageal fistula,"Congenital tracheo-oesophageal fistula | Trached-esophageal fistula | Tracheo-oesophageal fistula | Tracheo-oesophageal fistula NOS | Tracheoesophageal fistula | Congenital tracheo-esophageal fistula | Tracheo-esophageal fistula | Tracheoesophageal Fistula | Fistula, Tracheoesophageal | Fistulas, Tracheoesophageal | Tracheoesophageal Fistulas | Esophagotracheal Fistula | Esophagotracheal Fistulas | Fistula, Esophagotracheal | Fistulas, Esophagotracheal",10044310,tracheo-oesophageal fistula
