idx,se_name,se_text
251,Delusion,"Delusion. Also known as: Deluded, Delusion, Delusion NOS"
252,Myoclonus,"Myoclonus. Also known as: Myclonic jerks, Myoclonic jerks, Myoclonus"
253,Ventricular tachycardia,"Ventricular tachycardia. Also known as: Multifocal ventricular tachycardia, Multiform ventricular tachycardia, Paroxysmal ventricular tachycardia"
254,Injection site reaction,"Injection site reaction. Also known as: Injection site reaction, Injection site reaction NOS, Reaction injection site (NOS)"
255,Neuropathy peripheral,"Neuropathy peripheral. Also known as: Hereditary and idiopathic peripheral neuropathy, Hereditary and idiopathic peripheral neuropathy, other, Inflammatory and toxic neuropathy"
256,Hepatic function abnormal,"Hepatic function abnormal. Also known as: Acute derangement of liver function, Dysfunction hepatic nonicteric, Function liver abnormal"
257,Blood pressure increased,"Blood pressure increased. Also known as: Arterial pressure high, Arterial pressure NOS increased, Blood pressure increased"
258,Mouth ulceration,"Mouth ulceration. Also known as: Buccal mucosa ulceration, Buccal ulceration, Mouth ulcer"
259,Hostility,"Hostility. Also known as: Hostility, Hostilities"
260,Menorrhagia,Menorrhagia
261,Influenza like illness,"Influenza like illness. Also known as: Flu like symptoms, Flu-like aching, Flu-like illness"
262,Psoriasis,"Psoriasis. Also known as: Exacerbation of psoriasis, Flexural psoriasis, Other psoriasis"
